,0
working,331
one,13138
best,2096
shakespeare,112
sources,35
film,19221
manages,246
creditable,5
source,97
whilst,138
still,2283
appealing,96
wider,13
audience,1178
branagh,67
steals,66
fishburne,16
nose,98
talented,292
cast,1696
good,7423
form,313
well,4257
tremors,32
original,1984
started,545
found,1267
movie,24969
quite,1596
enjoyable,269
watch,3550
however,1741
proceeded,16
make,4722
ii,204
iii,76
trust,149
movies,4081
going,2319
downhill,79
right,1625
finished,168
first,4307
mean,1117
ass,163
blasters,2
god,766
capable,115
answering,18
question,358
gods,34
name,921
would,7036
create,296
another,2254
dumpster,7
dives,12
iv,38
considered,223
bad,7401
fact,1839
even,7691
epitome,14
lives,499
attempted,79
sit,449
though,2091
noticed,125
eyes,576
bleed,42
hoped,95
profusely,4
little,3096
girl,1464
ring,117
crawl,27
tv,1382
kill,727
really,6263
think,3643
dressing,39
people,4807
stared,12
wild,172
west,217
exact,112
occurrences,12
better,3358
honestly,328
never,3259
suggest,194
buying,95
cheaper,29
ways,308
find,1860
things,1839
burn,85
ouch,14
bit,1298
painful,308
cute,278
amusing,262
premise,485
goes,1256
hell,660
matthew,57
modine,17
almost,1574
always,1151
pedestrian,42
annoying,795
disappoint,30
deborah,23
kara,9
unger,4
john,858
neville,3
turned,518
surprisingly,154
decent,815
performances,584
alan,131
bates,19
jennifer,134
tilly,21
among,295
others,666
played,1017
way,3989
top,785
know,3334
parts,546
written,829
hard,1374
blame,219
actors,2441
script,2075
director,2408
schlock,49
outrageous,59
characters,3600
ok,716
got,2027
ta,87
material,437
work,2028
run,667
away,1470
screaming,212
possible,554
seen,3266
crappy,199
life,2429
must,1522
worst,2480
definately,7
bottom,291
imo,24
follow,339
two,3173
couples,46
dodds,1
billy,163
bob,118
thornton,21
lonnie,6
earl,33
natasha,19
richardson,19
darlene,4
kirkendalls,1
patrick,74
swayze,16
roy,75
charlize,6
theron,7
candy,126
car,734
roadtrip,1
reno,24
apparently,640
happy,366
sex,1046
cheats,15
wife,944
despirately,1
trying,1486
baby,343
meanwhile,118
sure,1433
sperm,12
getting,913
checked,48
doctor,328
read,1082
back,2424
dvd,1021
girlfriend,353
blurted,3
minutes,2126
oh,1086
yeah,329
gon,160
na,288
end,2955
pregnant,113
husband,454
spot,165
soooo,20
predictable,628
boring,1479
meaningless,85
offensive,160
terrible,1391
example,745
much,5078
stinks,80
set,1177
big,1662
towards,293
nevada,14
stopped,138
police,518
officers,48
stop,618
sign,169
guys,764
finally,716
bribe,6
case,807
beer,69
scene,2816
pointless,465
important,371
relevant,65
takes,950
talk,467
without,1596
ever,3264
somewhere,308
puke,22
thinking,720
ending,1180
problems,424
father,726
child,603
many,2909
times,1406
happen,573
try,1051
something,2942
new,1854
cheated,68
ultimately,252
forgives,7
friend,611
affair,158
live,618
happily,64
yuck,22
couple,903
shots,559
grand,111
canyon,31
keep,770
camera,1061
expect,594
although,1037
tries,790
writers,418
shame,398
carriers,9
follows,194
exploits,23
gals,12
stolen,104
mercedes,7
words,450
road,204
warrior,74
hood,96
hightailing,1
highway,30
beach,99
surfboards,3
strapped,20
