,0
movie,19078
gets,1490
respect,263
sure,1253
lot,2088
memorable,467
quotes,54
listed,50
gem,290
imagine,321
joe,390
piscopo,14
actually,1790
funny,1953
maureen,39
stapleton,10
scene,2567
stealer,13
moroni,2
character,3516
absolute,154
scream,106
watch,3424
alan,220
skipper,9
hale,30
jr,193
police,579
sgt,39
bizarre,220
horror,1441
filled,313
famous,485
faces,179
stolen,86
cristina,18
raines,72
later,1324
tv,1400
flamingo,3
road,231
pretty,1549
somewhat,555
unstable,25
model,118
gummy,2
smile,182
slated,11
pay,244
attempted,57
suicides,8
guarding,7
gateway,9
hell,365
scenes,2428
modeling,13
well,6411
captured,180
mood,231
music,1739
perfect,1242
deborah,15
raffin,5
charming,338
pal,52
moves,334
creepy,330
brooklyn,82
heights,56
brownstone,13
inhabited,11
blind,129
priest,70
top,1063
floor,125
things,1849
really,5476
start,744
cooking,34
neighbors,57
including,627
fantastically,25
wicked,70
burgess,25
meredith,24
kinky,15
couple,816
sylvia,27
miles,141
beverly,35
angelo,21
diabolical,13
eli,19
wallach,18
great,6419
fun,1688
wily,10
detective,283
nearly,408
cross,171
pollination,1
rosemary,54
baby,350
exorcist,20
combination,144
based,781
best,4320
seller,17
jeffrey,58
konvitz,7
sentinel,63
entertainingly,4
spooky,73
full,996
shocks,31
brought,459
director,2041
michael,805
winner,165
mounts,5
thoughtfully,11
downbeat,23
ending,1179
skill,107
solid,366
unremarkable,8
film,20941
matthau,149
einstein,54
wonderful,1372
favorite,962
part,2100
thing,1663
would,5400
make,3303
go,2440
way,4037
see,6027
physicists,6
playing,867
badmitton,1
loved,1087
sweaters,1
conversation,108
waited,35
robbins,38
retrieve,20
birdie,11
strange,487
feeling,619
sit,260
alone,512
theater,353
occupied,29
parents,453
rollicking,10
kids,855
felt,694
like,9040
instead,712
ticket,62
given,870
nambla,1
membership,4
upon,453
thomas,142
rockwell,18
respected,53
book,1143
eat,105
fried,24
worms,41
starts,545
children,834
story,6780
moving,600
new,2458
town,739
kid,514
fifth,31
grader,6
billy,212
forrester,4
popular,337
anew,6
making,1266
friends,981
never,3226
easy,531
especially,1572
prospect,13
poindexter,1
adam,180
erica,9
feet,110
giant,144
complicating,10
bully,43
freckled,1
face,831
sleeveless,2
shirts,20
daunting,5
antagonizes,1
death,986
ring,195
crackerjack,3
rumored,10
kill,507
punched,12
immediately,244
unleashes,10
poison,43
kills,203
eight,130
grade,144
axis,8
evil,660
welcome,131
smuggling,23
handful,55
slimy,47
thermos,1
discovered,168
plays,1378
cool,481
swearing,19
eats,30
time,6516
throws,64
ewww,2
win,290
reluctantly,26
bets,19
boiled,37
marinated,1
hot,318
sauce,4
squashed,2
spread,48
peanut,5
butter,8
sandwich,5
meal,26
dubbed,86
exotic,50
name,683
radioactive,16
slime,6
delight,133
finally,820
live,934
dream,408
microwaving,1
living,612
organism,2
ever,2734
met,173
know,2833
uncontrollably,3
hearty,11
laugh,587
creep,45
erupting,5
toddler,13
whining,17
dilly,6
dick,188
hurts,34
wonderfully,287
disgusting,54
g,260
rated,232
farrelly,18
brothers,355
vomitous,1
delightful,236
writer,522
bob,148
dolman,2
also,5551
savvy,14
storyteller,17
raise,87
stakes,18
must,1728
consumed,22
pm,24
addition,202
holds,208
dark,830
secret,329
ultra,54
sensitive,137
stomach,53
keen,48
sense,1020
perspective,176
accuracy,47
draws,90
insecurities,17
tendency,30
exaggerate,7
mundane,38
dilemmas,9
hyperbolize,1
quandaries,1
essentially,120
war,1310
freedom,199
fighter,47
hater,7
use,864
pubescent,4
boys,364
pawns,9
proxy,6
wars,191
learn,398
valuable,42
lesson,146
unity,14
international,162
leaders,42
two,3733
global,42
peacekeeping,1
end,2696
comforted,6
chaperoning,1
mothers,39
behind,633
looked,340
befuddlement,1
agreed,28
register,19
lawful,2
databases,1
probably,1398
already,619
additional,44
episodes,657
aired,97
viewed,124
abc,87
com,137
watched,1094
television,518
years,2757
possibly,279
show,3433
crime,470
beautifully,373
written,787
acted,334
canceled,33
actors,2047
played,1571
laura,87
whit,8
carlos,29
mae,19
damian,9
anya,2
omg,6
steven,100
caseman,2
incredible,413
natural,327
roles,693
even,4965
sad,497
gone,379
course,1358
wonder,386
reasons,305
let,957
believe,1071
ms,175
moynahan,6
pregnancy,15
anything,1075
slot,12
market,111
hope,775
come,1594
dvd,1324
day,1614
thanks,300
reading,316
saw,1693
grown,138
although,1501
clever,296
shrek,24
thought,1639
rather,1340
good,7724
theatre,132
surrounded,59
spring,85
break,300
sound,578
liked,923
seemed,506
engaged,66
apparent,128
characters,3559
appropriate,138
gasps,4
comments,385
hopefully,106
people,4480
realize,324
made,3823
successful,311
personally,262
scrat,14
using,368
imdb,262
hefty,8
votes,29
favourite,256
films,3813
something,2135
enjoy,1146
fifty,40
seconds,86
one,13657
world,2430
ends,475
another,2076
begins,498
ten,378
give,1553
seven,213
exactly,475
could,3237
first,4757
better,2382
record,163
long,1691
still,3341
opening,478
shot,925
showmanship,4
superb,569
innovation,15
perfectly,490
suited,57
situation,386
dog,362
bike,36
lovely,298
touch,304
within,455
word,371
genius,304
often,970
overused,6
powerful,488
message,463
love,4302
redemption,91
transformation,57
brother,646
repercussions,10
horrible,155
disease,70
family,2032
directed,636
flaws,222
say,2414
showed,273
typical,435
suburban,39
difficulties,58
cultural,111
backgrounds,70
cultures,43
shown,563
real,2568
life,4203
nevertheless,161
soared,2
terms,251
values,231
understanding,176
bring,460
someone,848
closer,126
maker,74
tears,235
eyes,641
quartet,12
trio,73
continued,67
quality,600
earlier,382
versions,165
short,1009
stories,696
maugham,22
three,1202
verger,9
mr,836
sanitorium,3
comic,521
prolonged,10
joke,140
last,1543
serious,488
health,97
issues,242
involved,508
author,147
introduces,62
james,665
hayter,6
soon,702
signature,24
role,1967
samuel,24
pickwick,3
hero,506
small,986
custodial,2
type,578
job,1470
church,203
vicar,7
hordern,4
intellectual,91
snob,8
hears,41
schooling,3
fires,25
saved,94
money,723
tells,554
